dataset,seed,architecture_id,rotations,entanglement,reps,twoq_count,logical_depth,n_params,train_loss,fit_bacc,val_bacc,test_bacc,test_auc,test_logloss,test_brier
breast_cancer,101,A003,ry,full_chain,4,12,13,16,0.2374501356322341,0.9116666666666666,0.9133333333333333,0.9039891818796484,0.9945909398242055,0.2122120737023371,0.05552563353652579
breast_cancer,101,A013,ry,right_ladder,2,4,7,8,0.24185642559390147,0.895,0.88,0.8867478025693036,0.9830966869506423,0.22671925484001756,0.06526086861005413
breast_cancer,101,A015,ry,right_ladder,4,8,13,16,0.24237908181011578,0.895,0.88,0.8867478025693036,0.982420554428668,0.22621951691203535,0.06441756822910336
breast_cancer,101,A018,rx+rz,full_chain,3,9,13,24,0.2725938337538956,0.905,0.8966666666666667,0.9039891818796484,0.982420554428668,0.25368755411476507,0.0673979075277818
breast_cancer,101,A020,rx+rz,outer_pairs,1,2,4,8,0.3072860061434498,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.2767814777515273,0.07786614784964394
breast_cancer,101,A022,rx+rz,outer_pairs,3,6,10,24,0.3057229317704737,0.9066666666666667,0.8733333333333333,0.9188640973630832,0.9790398918187965,0.27414526011839635,0.07542531475823405
breast_cancer,101,A025,rx+rz,left_ladder,2,4,9,16,0.2972049550831342,0.9066666666666667,0.8733333333333333,0.9114266396213657,0.9810682893847193,0.2655751292342624,0.0730398248930608
breast_cancer,101,A037,ry+rz,outer_pairs,2,4,7,16,0.3766691459205807,0.8883333333333334,0.7966666666666666,0.8624070317782285,0.9675456389452333,0.34072640316552866,0.1024899244781656
breast_cancer,101,A040,ry+rz,left_ladder,1,2,5,8,0.26716811701069326,0.9083333333333333,0.9033333333333333,0.9212305611899931,0.982420554428668,0.24348977340364275,0.06686519935547217
breast_cancer,101,A042,ry+rz,left_ladder,3,6,13,24,0.2627778917537597,0.825,0.8633333333333333,0.8867478025693036,0.9716024340770791,0.2515197717302621,0.07379636750333433
breast_cancer,101,A045,ry+rz,right_ladder,2,4,9,16,0.25042690636636505,0.8433333333333333,0.83,0.8695064232589587,0.9830966869506423,0.23968990083594582,0.07229697368058047
breast_cancer,101,A047,ry+rz,right_ladder,4,8,17,32,0.3908563918443879,0.8783333333333334,0.8133333333333334,0.9141311697092631,0.9709263015551048,0.3503322305539053,0.10566376691621926
breast_cancer,101,A058,rx+ry+rz,left_ladder,3,6,16,36,0.44360435991681796,0.8416666666666666,0.8200000000000001,0.8553076402974984,0.9526707234617985,0.42085105672607315,0.13345576508632762
breast_cancer,101,A059,rx+ry+rz,left_ladder,4,8,21,48,0.2941491677827325,0.9066666666666667,0.9066666666666667,0.9039891818796484,0.9925625422582827,0.23550861930105566,0.05957887163693761
breast_cancer,101,A063,rx+ry+rz,right_ladder,4,8,21,48,0.2884737486428833,0.9116666666666666,0.8733333333333333,0.9286680189317107,0.982420554428668,0.26151191497880294,0.07234453415570194
