dataset,backend,snapshot,architecture_id,entanglement,reps,twoq_count,logical_depth,probability_mae,probability_mae_seed_sd,probability_rmse,delta_logloss,delta_brier,delta_auc,delta_bacc,rotations,N2Q,Depth,E2Q,OLD,CARE,oneq,readout,relax,dephase
digits_01,ibm_kingston,7,A063,right_ladder,4,8,21,0.007195251616900385,0.0008818700194712976,0.008506979304181145,-0.010938407734115177,-0.0015222049370808843,0.0,0.0,rx+ry+rz,8.0,21.0,0.015186041161217377,0.09762304175388702,0.08948949583938567,0.031911158257797737,0.01203502184347814,0.016267091829002676,0.014090182747889743
digits_01,ibm_marrakesh,0,A000,full_chain,1,3,4,0.003018644852933629,0.0005983893807866238,0.0034785581562140552,-0.008243336960435757,-0.0003709846995870597,0.0,0.0,ry,3.0,4.0,0.005607275424824075,0.026533303625334202,0.024630862322824243,0.005215291016078174,0.003546319827933037,0.003804882605019929,0.006457093448969024
digits_01,ibm_marrakesh,0,A003,full_chain,4,12,13,0.008452602443771483,0.001802639991418931,0.009064000670586365,0.006917926682278197,0.0010617412038007267,0.0003255208333333333,0.0,ry,12.0,13.0,0.0224291016992963,0.07665203928850847,0.07067516340686983,0.013038227540195433,0.003546319827933037,0.011953751763277273,0.01970776257616778
digits_01,ibm_marrakesh,0,A013,right_ladder,2,4,7,0.003172821623144493,0.0009319140730159311,0.003506904218592116,-0.0029400880427396616,-1.3757279184211288e-05,0.0,0.0,ry,4.0,7.0,0.0062695375117128305,0.033481567744605034,0.03075826603378482,0.00782293652411726,0.003546319827933037,0.0054466034216404296,0.007672868748381268
digits_01,ibm_marrakesh,0,A015,right_ladder,4,8,13,0.00440901106384221,0.001815539256230825,0.0048404603227607595,-0.0630347450276586,-0.00064061854569962,0.0003255208333333333,0.0,ry,8.0,13.0,0.012539075023425661,0.057136077084933956,0.05223377010609394,0.013038227540195433,0.003546319827933037,0.009804613957680043,0.01330553375685976
digits_01,ibm_marrakesh,0,A018,full_chain,3,9,13,0.004019222399667857,0.00036250086213016324,0.004704639771222528,-0.0023021139262540125,-0.00020389840570692966,0.0,0.0,rx+rz,9.0,13.0,0.016821826274472224,0.059945794067450375,0.05532706304552129,0.010430582032156348,0.003546319827933037,0.009237462043858159,0.01529087286710153
digits_01,ibm_marrakesh,0,A020,outer_pairs,1,2,4,0.002424821689872961,0.00022538806142678323,0.002857685875263687,-0.0025933588321674175,-0.0002819746691680262,0.0,0.0,rx+rz,2.0,4.0,0.004564006350077669,0.02414083567298398,0.02253818503584945,0.005215291016078174,0.003546319827933037,0.0032053012742690665,0.006007266567491501
digits_01,ibm_marrakesh,0,A022,outer_pairs,3,6,10,0.004511707751342418,3.2091745712079036e-05,0.005199344065179418,-0.0008501312980314276,0.0002024188648229545,0.0003255208333333333,0.0,rx+rz,6.0,10.0,0.013692019050233007,0.052768390210399696,0.049049031184596914,0.010430582032156348,0.003546319827933037,0.00743871805160557,0.013941392222668957
digits_01,ibm_marrakesh,0,A025,left_ladder,2,4,9,0.003461646544582824,8.568415690582032e-05,0.00407079495915745,-0.0051754491612710325,-0.0005108437090363127,0.0,0.0,rx+rz,4.0,9.0,0.007031551487428135,0.03693145256344999,0.0341616974528986,0.00782293652411726,0.003546319827933037,0.0055395102211027855,0.010221379392317383
digits_01,ibm_marrakesh,0,A037,outer_pairs,2,4,7,0.003568625092398234,0.0005016928812904012,0.004204246715639654,-0.0066221119491414555,-0.0006724989162935809,-0.0003255208333333333,0.0,ry+rz,4.0,7.0,0.009128012700155338,0.03845461294169184,0.03579360811022319,0.00782293652411726,0.003546319827933037,0.005322009662937319,0.009974329395080231
